date,target_bitcoin_change_volatility_next
2023-02-23,-0.2094980648282618
2023-02-24,1.719279034360066
2023-02-25,-0.033618767879584
2023-02-26,0.6348949129230341
2023-02-27,-0.0054789414508316
2023-02-28,-1.8860230623678365
2023-03-01,-3.033094520676838
2023-03-02,-0.2269339822410843
2023-03-03,4.346832134865375
2023-03-04,-0.192977252427251
2023-03-05,0.0676806758629355
2023-03-06,-0.0298530483519465
2023-03-07,-0.401509026269764
2023-03-08,1.0356576850683474
2023-03-09,7.54584702170602
2023-03-10,-0.1627080689317717
2023-03-11,-3.489715115051684
2023-03-12,11.285154704166867
2023-03-13,12.784752084894958
2023-03-14,0.4229920486141347
2023-03-15,0.5132492876604333
2023-03-16,0.4773951527181186
2023-03-17,0.1623059986627595
2023-03-18,-0.9014677055455222
2023-03-19,-0.0094133463424794
2023-03-20,0.2787301899035643
2023-03-21,-0.2801050728444054
2023-03-22,1.411507264104439
2023-03-23,0.952661523061238
2023-03-24,1.3557065876556915
2023-03-25,-0.2560713860117136
2023-03-26,-1.675117868229059
2023-03-27,1.8112257880052995
2023-03-28,-0.1768223121312528
2023-03-29,1.423353970467911
2023-03-30,-0.2588541894897322
2023-03-31,-0.1815197620845032
2023-04-01,-0.1443058645949402
2023-04-02,-3.9164880694769866
2023-04-03,0.613257287088742
2023-04-04,0.0327167732495636
2023-04-05,-0.0130755258703318
2023-04-06,-0.1957258209037693
2023-04-07,-1.157336833637379
2023-04-08,-8.225348677900236
2023-04-09,-0.6566950734143151
2023-04-10,1.8208278564741944
2023-04-11,-6.279630032017103
2023-04-12,-12.572000338890945
2023-04-13,-0.5908001754863723
2023-04-14,-1.2254331321616685
2023-04-15,-0.699633894767826
2023-04-16,-21.817828636474225
2023-04-17,2.7581289365235184
2023-04-18,-1.9501007030386488
2023-04-19,11.780123798873364
2023-04-20,0.8253793490517802
2023-04-21,0.8040417105013242
2023-04-22,-3.340506792689668
2023-04-23,-2.997713547466363
2023-04-24,0.0231525028250079
2023-04-25,1.712605868239958
2023-04-26,-3.7664972942034303
2023-04-27,4.4989359522991546
2023-04-28,-4.91461227611275
2023-04-29,-0.5430919057286765
2023-04-30,-0.8620541751526156
2023-05-01,6.761559028820052
2023-05-02,1.3231556592540494
2023-05-03,-0.4844954209823782
2023-05-04,-0.391476392790302
2023-05-05,1.7668267810736935
2023-05-06,1.660935524315632
2023-05-07,0.8205193196668903
2023-05-08,2.41133312152062
2023-05-09,-0.6360619551780688
2023-05-10,-7.312532873273614
2023-05-11,-0.4432004939638467
2023-05-12,0.0424368567443877
2023-05-13,-0.5576797246059639
2023-05-14,0.1636434940012865
2023-05-15,0.6783747911907723
2023-05-16,-0.0331494568461487
2023-05-17,-1.5220888692659362
2023-05-18,-3.590330253730412
2023-05-19,-10.716437155326696
2023-05-20,-1.1594423132800902
2023-05-21,-5.328135397837396
2023-05-22,-2.390593820215403
2023-05-23,0.9897015185770686
2023-05-24,6.127198360369612
2023-05-25,-4.630425157048856
2023-05-26,0.5243329938085628
2023-05-27,-8.857694805175875
2023-05-28,14.241882826550478
2023-05-29,0.5883352772518835
2023-05-30,-0.0328311262604685
2023-05-31,-7.252188516506552
2023-06-01,-2.060966022387145
2023-06-02,0.9330689423228566
2023-06-03,0.0460429657940242
